License Plate,Probability
[OLJCCA1750,0.14224141280622168
UP3HCR0+23,0.2139517474439477
~oLjcch4750,0.059457275241055756
UP32 CRO423,0.4532508918586129
ILjcchi750],0.05131721867708008
dLiccu750,0.2302824937585417
UP32CR0 423],0.3442968223228218
~oLIccU4750,0.10169569002092635
@P3ecR0423,0.25185510750911283
~oljcc44750,0.07792482031057615
[uP32CR0423,0.4878371202742715
luP32CR0423],0.21435001039223844
DLJCCA17501,0.32647459343426427
uP32CR0423],0.3734019215621394
@Liccu475q,0.08936279158717074
UP32CRO423,0.4821860329128457
LoL3cca175o,0.16696517790224238
dLjccu175C,0.11400915710769849
DLjcc41750_,0.08649570172587442
uP32CRO423,0.573272833163124
ToLIccu750,0.09387374118294846
Ljcc475q,0.08396172089811703
luP32cR0423],0.299171691161392
dLaco44z5q,0.07119383750850063
ToLJcc417501,0.09424744046012486
UP32 CRO423],0.5864498505332297
Liccli7so,0.059010464361764645
UP32CR0423],0.736596842333549
MIc4175d,0.14429521967256026
[UP32cR0423],0.35628338014299676
Wlcc59,0.12128932809884954
(uP32cR0423],0.418770808847614
~DLjCCIIS,0.06465169157965112
luP32CR0423,0.4143854561877127
[uP32cRO423],0.3307859726512778
DLTCCVA,0.05676313174362976
up32 CRO423,0.2833066106246001
LuP32cR043[,0.34544814233746424
JP32cR043,0.43188619991851557
luP32cr 0423,0.2189360782278086
WP32CR04230,0.1897285619924121
JuP32cr0423,0.44763246846769744
IuP32CR0423,0.47344039330591986
[uP32cR 0423,0.3411409953014388
UP32 CR0423,0.6097277656757092
UP32 CR0423],0.338331569985462
LuP32 cR0423,0.2592425451335912
LUP32CR0423,0.5958098579143368
[P3PCRO423/,0.6018956515493109
UP32CR0423/,0.6440380436276614
Mii,0.05335463390337458
UP32ICR0423/,0.18954102706727965
0ib58,0.09003457162979372
71 40 1858,0.12445086399840763
1141 1858,0.22305497091310209
4R61 40 1858,0.2092557966586561
(uP32 CRO423,0.29893794798718687
La594858,0.05573937539201601
DP32 CR0423],0.6148127645567293
4a5] 4941358,0.12231115502353745
licenc,0.9944386768460073
[uP32cR0 423,0.25031041467556736
"""hr51 42 1050 [",0.007695719882589422
luP32 CR 0423,0.44586794116390543
598Inaar,0.47876741793503536
598 Ina44,0.1926026627801391
JuP3ecR0 423],0.2435923912387613
3e67 asa,0.02575682563501141
uP32CRO 423,0.24916188319022473
TPZCR0423,0.17603545417069638
CF32 Ch0+23,0.161271092753619
LP32(H0423,0.3924680061668079
Wp-Doaoe,0.007157763055200147
Daci,0.044239286333322525
"Mp ""a0l""",0.03279802845939487
[2222,0.27333957904551737
Mce,0.40551986658820594
HeZ,0.04513624387636554
[1P1502222,0.030119704094313023
FHIp ISdMC,0.00683793075031638
7450z2z,0.030584517870934295
n--oa;,0.009321808685214714
IP;902,0.00863063959120853
MP  Jomue,0.010232209104648613
VPXOE03,0.0041403318193255784
MPSnr,0.002387672543920443
UPa Kol%;,0.05276238724245803
UPT4 0043,0.017368521729950986
"KpuSteto""",0.0008947494423036998
P cRot,0.08018414177572937
DPAO},0.07672984389553861
p70421,0.19197184496566458
"Wp uo """,0.010155634668094837
Cpsano7,0.0037569271013680816
UPTCEJ,0.1674598200075457
WP4H0/4,0.023587896753997743
CRo,0.028807813044924583
UPIHCRO 123,0.15750427246500934
UPSHCHO 423,0.21102496541852264
UPHHCRO 423,0.17843927273291957
DPi2cho 43,0.10777173869333177
59810446',0.9642022563805872
WP32CE0 423,0.10152538823717158
5981044,0.6724726675033246
UP32CRO 423],0.5184663887112912
UP32CRO423/,0.513513119964815
(UP32CRO 423,0.4775685534236862
[uP32cR0423],0.5962856407467721
8104464,0.6410050424581719
{uP32 CRO423],0.3255549451463127
[UP32cRO423,0.5771069237925347
UP32 CRO423|,0.32853185325997375
UP3ZCRO423,0.37037257269279095
Ip3PACR0423,0.2355351431202543
Ip32 c30423],0.08100462943456858
Hg) CRR0.23,0.043370509194804535
HDpDICP0M9R,0.033301308155425764
Qud,0.3228426330721385
OoLdp,0.043613909010642174
Op1oudp,0.007784408307539063
Opiouopi,0.06240683169846448
piouop,0.03257746950800771
LDPDI4P0LORL,0.017713057342448487
HDPbITPIAMORI,0.010591046564511625
MDPbICPI0.OR,0.032073157588776456
HPPOICRI0HOR,0.023808801716450997
HPQICPI0H93,0.01654433697044058
ILpROICR0H9R,0.045190868714698094
IpgOCR0/23,0.1981526497808196
MPROICROA23,0.18919085328630197
Hp35 CRROLP31L,0.060390895710174884
ITPRPACRR[0L231,0.07947082923838465
[P3CRO423,0.3204454607922214
UP32CRO423E,0.20647055049000917
IuP32 CRO423],0.2713751583209165
IUP32 CR0423,0.3881315717679747
UPSRCRO42,0.28974684052265043
598104,0.9737943677408399
UPS2CRO423,0.5664158807958023
[uP32CR0 423],0.270302392695233
luP32CRO423,0.2857056357541702
[up32cR0423,0.43747021446993944
IuP32CRO423,0.2882061438380684
JUP32CRO423,0.33037039716656824
LP32CR0423],0.23660377996566745
UP32CRO423],0.42304374468047107
IUP32 CRO423],0.327005638951327
[up32cR0423],0.3804159688388238
lUP32CR0423,0.2383264808332455
(UP32CR0423],0.5131712631308476
UPS2CR0423,0.29697892889794447
UP3ACRO423,0.3582303860285014
LP3PACR04231,0.28124776728812406
HR2 CR0L231,0.04368101393787872
[I p3D C30 423,0.042889174809564654
IIPR9 CRR0PP3,0.010742870505198926
I p2DIcRooa,0.030861569439523298
MIDQOICR0921,0.032866168423533564
HIDDDICPOH9RI,0.012195223028257117
HDpDICPOMO,0.01585288466872911
DpOICP09RI,0.05643557942788458
IppDICP0M9R,0.038865600403986844
DDDITPIOM92,0.04877647137295679
DDDITPIOMOR,0.06631880527209154
'pbITPIOM9R,0.02090287337004983
LDDDICPIOMOR,0.08142144885065841
ppbIdPOM92,0.018459596995609687
ppbIdPIOM92,0.02968011077764571
598104464,0.9999584352624667
579g9,0.049587368435609604
Janakpuri,0.7770393245325392
0TF4yr,0.013259941859394251
LiccL7,0.025960598723539473
MICA451,0.06849566579507661
diccuso],0.07576675176479018
Lacc44750,0.23492217791757994
Cdlaccaizsol,0.05612163546776602
Choa,0.03849836811423302
WLiccA1750,0.14236017466273776
440g,0.08763854950666428
dLacca1750,0.17989987807903354
DL3cCA1750,0.37933003479206123
P34044,0.03755758576213519
UPSYCR0423,0.3219880110072151
DLcCAZ,0.15377488360787517
Mcons,0.14712349755143803
IahcR0Z,0.0028870456862629033
LP34cn0421,0.10243378022242723
"""LjccA17501",0.11068616160116944
8104404,0.8865102228107795
DJccAl750,0.1529222501171972
Itp3ch0423,0.11971005253504081
DLJccA 1750,0.27980264750502876
Jups20n0423,0.028838714835753766
598104484,0.6030180630130076
PSICR0123,0.1026954274407564
981044859,0.6902336368135723
DPECR0E3,0.10059134638660085
18104469],0.29612246789284524
VEALRO 4,0.12641283908480355
9841044650,0.46909426004353033
WPSACRO 423,0.1955520536747919
1L0448501,0.19760955546604944
UP32Ch0423,0.520161916261568
UP32cn0423,0.2763434293178035
IP32ch0433,0.17644260608214649
810446.,0.22969739198429315
LPSHCRO 423],0.04110457309795534
98104484,0.7675937565993444
IPSHCRO 423,0.24139657874307133
WBh0E8,0.022394221188763053
UP3ECRO 123],0.17521554065530615
UP32CR0423,0.269459238118268
@PiZRo*3,0.08768353204162102
69810440,0.7643001755360816
WPCRO48,0.1502756458853628
6981044,0.9011594404088361
R0423,0.25456842223000314
(59810446,0.41352120711720775
59810446,0.4241030189742952
59810448,0.8074964137434228
[5981044,0.892073414872278
[59810044,0.4945450410310742
D598104454,0.40264165776750205
05981044,0.8408640523912242
015981104464,0.3094265621913328
5981044464,0.6784881802844702
LP320i0 14,0.1403548160842374
Uun,0.006313239200060701
65981044464,0.33908560770890545
5981041,0.69079688399612
P32 CRO 423,0.41766989811600963
LP32CR0 423,0.3384371427988284
Gltz,0.008651738055050373
JuP32 CRO 423,0.3342338258172146
1598104464,0.751826060591833
UP3PCR0423,0.3714171882891091
Midd,0.07102453708648682
LP3RCR0423,0.14689808876920027
P3YTCR0423,0.3614087570662831
cCCC,0.2973233461380005
"5981,04481",0.4807066101887181
P3ECR0423],0.17376907990166415
5981044014,0.4924926568616951
59810441,0.8694587683362123
598104414,0.9271458257183481
WP3PCRO423,0.12806382774478337
DPSHCR0423,0.16670232298696122
[598.10448,0.425063760387571
[59810446,0.6853441100074676
uPSECRO 423,0.2171232263535525
JuP32CR0423,0.20000052786953146
DP3ECR0423,0.3407572816870871
78104464,0.6134983735947845
UP3PICR0423,0.29169281486389126
LIccuZ5OL,0.09477677252698062
UP3ZCR0423],0.4399219047804047
ninoongsm,0.026144346075540673
UP3ZCR0423,0.6086937505600325
Olaccat,0.17837158629212138
UP3ZCR0+23,0.28234289589669337
JP3PICR0423,0.14805463912784705
Loljccalzso,0.10948432675832077
UP3ZICR0423,0.16934071262005343
LLjcchi750,0.21144247956237328
JP3HICR0423],0.08153029923855544
[QLcc75d,0.07776985434637575
UP3HCR0423,0.25822876366889397
[OLJCCA1750,0.14224141280622168
UP3HCR0+23,0.2139517474439477
~oLjcch4750,0.059457275241055756
UP32 CRO423,0.4532508918586129
ILjcchi750],0.05131721867708008
dLiccu750,0.2302824937585417
UP32CR0 423],0.3442968223228218
~oLIccU4750,0.10169569002092635
@P3ecR0423,0.25185510750911283
~oljcc44750,0.07792482031057615
[uP32CR0423,0.4878371202742715
luP32CR0423],0.21435001039223844
DLJCCA17501,0.32647459343426427
uP32CR0423],0.3734019215621394
@Liccu475q,0.08936279158717074
UP32CRO423,0.4821860329128457
LoL3cca175o,0.16696517790224238
dLjccu175C,0.11400915710769849
DLjcc41750_,0.08649570172587442
uP32CRO423,0.573272833163124
ToLIccu750,0.09387374118294846
Ljcc475q,0.08396172089811703
luP32cR0423],0.299171691161392
dLaco44z5q,0.07119383750850063
ToLJcc417501,0.09424744046012486
UP32 CRO423],0.5864498505332297
Liccli7so,0.059010464361764645
UP32CR0423],0.736596842333549
MIc4175d,0.14429521967256026
[UP32cR0423],0.35628338014299676
Wlcc59,0.12128932809884954
(uP32cR0423],0.418770808847614
~DLjCCIIS,0.06465169157965112
luP32CR0423,0.4143854561877127
[uP32cRO423],0.3307859726512778
DLTCCVA,0.05676313174362976
up32 CRO423,0.2833066106246001
LuP32cR043[,0.34544814233746424
JP32cR043,0.43188619991851557
luP32cr 0423,0.2189360782278086
WP32CR04230,0.1897285619924121
JuP32cr0423,0.44763246846769744
IuP32CR0423,0.47344039330591986
[uP32cR 0423,0.3411409953014388
UP32 CR0423,0.6097277656757092
UP32 CR0423],0.338331569985462
LuP32 cR0423,0.2592425451335912
LUP32CR0423,0.5958098579143368
[P3PCRO423/,0.6018956515493109
UP32CR0423/,0.6440380436276614
Mii,0.05335463390337458
UP32ICR0423/,0.18954102706727965
0ib58,0.09003457162979372
71 40 1858,0.12445086399840763
1141 1858,0.22305497091310209
4R61 40 1858,0.2092557966586561
(uP32 CRO423,0.29893794798718687
La594858,0.05573937539201601
DP32 CR0423],0.6148127645567293
4a5] 4941358,0.12231115502353745
licenc,0.9944386768460073
[uP32cR0 423,0.25031041467556736
"""hr51 42 1050 [",0.007695719882589422
luP32 CR 0423,0.44586794116390543
598Inaar,0.47876741793503536
598 Ina44,0.1926026627801391
JuP3ecR0 423],0.2435923912387613
3e67 asa,0.02575682563501141
uP32CRO 423,0.24916188319022473
TPZCR0423,0.17603545417069638
CF32 Ch0+23,0.161271092753619
LP32(H0423,0.3924680061668079
Wp-Doaoe,0.007157763055200147
Daci,0.044239286333322525
"Mp ""a0l""",0.03279802845939487
[2222,0.27333957904551737
Mce,0.40551986658820594
HeZ,0.04513624387636554
[1P1502222,0.030119704094313023
FHIp ISdMC,0.00683793075031638
7450z2z,0.030584517870934295
